Property Class Name,Period,Slice,As Of,Geography Name,Inventory SF,Market Asking Rent/SF,Net Absorption SF 12 Mo,Net Delivered SF 12 Mo,Vacancy Rate,Existing Buildings
Industrial,2025 Q3,All,2025 Q2,Akron - OH USA - Akron  (Cluster),106467544,7.11,-2304539,89851,4.62191365659237%,2674
Industrial,2025 Q3,All,2025 Q2,Akron - OH USA - Akron,73813055,6.81,-1580486,101530,5.04190213978291%,2114
Industrial,2025 Q3,All,2025 Q2,Akron - OH USA - Portage County  (Cluster),13957662,6.07,1050740,-4861,2.05426961183548%,457
Industrial,2025 Q3,All,2025 Q2,Akron - OH USA - Portage County,13957662,6.07,1050740,-4861,2.05426961183548%,457
Industrial,2025 Q3,All,2025 Q2,Akron - OH USA - Twinsburg/Aurora,32654489,7.81,-724053,-11679,3.67256104946136%,560
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Albany CBD (Cluster),709855,9.18,23108,-264,0.262870592996478%,14
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Albany CBD,709855,9.18,23108,-264,0.262870592996478%,14
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Central Avenue Corridor (Cluster),6675913,10.04,-118798,-2278,3.99650223553181%,253
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Central Avenue Corridor,6675913,10.04,-118798,-2278,3.99650223553181%,253
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Downtown Schenectady (Cluster),326792,10.42,-967,-112,0.261634308844805%,24
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Downtown Schenectady,326792,10.42,-967,-112,0.261634308844805%,24
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Downtown Troy (Cluster),383273,9.34,-1146,-136,0.263519748114049%,16
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Downtown Troy,383273,9.34,-1146,-136,0.263519748114049%,16
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - E Outer Albany County (Cluster),12920461,9.33,81279,-4812,3.2190416008234%,396
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - E Outer Albany County,12920461,9.33,81279,-4812,3.2190416008234%,396
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Albany (Cluster),5844299,8.39,11410,-2030,0.454579759389162%,221
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Albany,5844299,8.39,11410,-2030,0.454579759389162%,221
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Schenectady (Cluster),4666728,10.9,-5503,22385,0.679662497714162%,143
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Schenectady,4666728,10.9,-5503,22385,0.679662497714162%,143
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Troy (Cluster),2109474,8.69,-24252,-767,4.39792089164257%,102
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Troy,2109474,8.69,-24252,-767,4.39792089164257%,102
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Outer Rensselaer County (Cluster),7014713,9.03,-8677,-3017,1.96362994611263%,187
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Outer Rensselaer County,7014713,9.03,-8677,-3017,1.96362994611263%,187
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Outer Schenectady County (Cluster),12893212,7.15,102027,-4514,1.28690199926496%,187
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Outer Schenectady County,12893212,7.15,102027,-4514,1.28690199926496%,187
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Saratoga County (Cluster),18356642,11.26,722890,186336,3.41092348098755%,390
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Saratoga County,18356642,11.26,722890,186336,3.41092348098755%,390
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Schoharie County (Cluster),1247553,8.27,-4492,-1205,0.263475789688528%,45
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - Schoharie County,1247553,8.27,-4492,-1205,0.263475789688528%,45
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - W Outer Albany County (Cluster),9492971,9.13,136665,100045,1.71328876167536%,165
Industrial,2025 Q3,All,2025 Q2,Albany - NY USA - W Outer Albany County,9492971,9.13,136665,100045,1.71328876167536%,165
Industrial,2025 Q3,All,2025 Q2,Albany - OR USA - Linn County (Cluster),13554466,9.01,243647,-1251,1.83155871927738%,429
Industrial,2025 Q3,All,2025 Q2,Albany - OR USA - Linn County,13554466,9.01,243647,-1251,1.83155871927738%,429
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Airport (Cluster),1251275,10.49,-39925,-480,12.689296901226%,58
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Airport,1251275,10.49,-39925,-480,12.689296901226%,58
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Cottonwood (Cluster),143125,15.1,-199,-12,0.130655022803694%,9
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Cottonwood,143125,15.1,-199,-12,0.130655022803694%,9
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Downtown (Cluster),4941722,9.51,-68907,-501,2.84862238913774%,236
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Downtown,4941722,9.51,-68907,-501,2.84862238913774%,236
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - East Outlying (Cluster),792514,12.04,-1126,-70,0.133246858604252%,61
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - East Outlying,792514,12.04,-1126,-70,0.133246858604252%,61
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Far Northeast Heights (Cluster),421381,13.45,-10572,-37,2.50035002827644%,27
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Far Northeast Heights,421381,13.45,-10572,-37,2.50035002827644%,27
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Kirtland AF Base (Cluster),280410,15.25,2556,-31,0.68221534602344%,5
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Kirtland AF Base,280410,15.25,2556,-31,0.68221534602344%,5
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Los Lunas Corridor (Cluster),2742376,9.52,465125,458301,7.91744068264961%,95
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Los Lunas Corridor,2742376,9.52,465125,458301,7.91744068264961%,95
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Mesa Del Sol (Cluster),307856,10.99,36070,-136,0.130580528639257%,4
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Mesa Del Sol,307856,10.99,36070,-136,0.130580528639257%,4
Industrial,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North I-25 (Cluster),20432201,13.98,352697,95119,2.64646969735622%,1056
