Property Class Name,Period,Slice,As Of,Geography Name,Inventory SF,Market Asking Rent/SF,Net Absorption SF 12 Mo,Net Delivered SF 12 Mo,Vacancy Rate,Existing Buildings
Office,2025 Q3,All,2025 Q2,Abilene - TX USA - Suburban (Location Type),2667782,15.72,24783,11736,6.63322582840919%,174
Office,2025 Q3,All,2025 Q2,Akron - OH USA - Akron,26744694,15.67,-398831,-52107,8.25057849287987%,1599
Office,2025 Q3,All,2025 Q2,Akron - OH USA - Fairlawn/Montrose,4389417,18.12,-28182,-1115,8.91343876719475%,177
Office,2025 Q3,All,2025 Q2,Akron - OH USA - Portage County (Cluster),2930166,14.78,181926,139477,1.91869679838419%,316
Office,2025 Q3,All,2025 Q2,Akron - OH USA - Portage County,2930166,14.78,181926,139477,1.91869679838419%,316
Office,2025 Q3,All,2025 Q2,Akron - OH USA - Suburban (Location Type),34064277,15.91,-245087,86255,7.79133215546608%,2092
Office,2025 Q3,All,2025 Q2,Akron - OH USA - Summit County (Cluster),31134111,16.01,-427013,-53222,8.34403112530708%,1776
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Albany CBD (Cluster),13455925,18.1,-11883,-2543,4.30201552808285%,183
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Albany CBD,13455925,18.1,-11883,-2543,4.30201552808285%,183
Office,2025 Q3,All,2025 Q2,Albany - NY USA - CBD (Location Type),17760837,17.81,-47552,-3304,4.18069250881672%,407
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Central Avenue Corridor (Cluster),2298451,17.14,23716,-371,1.68317705392838%,150
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Central Avenue Corridor,2298451,17.14,23716,-371,1.68317705392838%,150
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Downtown Schenectady (Cluster),2367737,17.85,-14896,-415,2.15695407241583%,119
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Downtown Schenectady,2367737,17.85,-14896,-415,2.15695407241583%,119
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Downtown Troy (Cluster),1937175,15.86,-20773,-346,5.81150390207767%,105
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Downtown Troy,1937175,15.86,-20773,-346,5.81150390207767%,105
Office,2025 Q3,All,2025 Q2,Albany - NY USA - E Outer Albany County (Cluster),12074637,17.91,155690,-27144,6.95100799202919%,414
Office,2025 Q3,All,2025 Q2,Albany - NY USA - E Outer Albany County,12074637,17.91,155690,-27144,6.95100799202919%,414
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Albany (Cluster),5214534,18.07,13355,-892,4.01268824934959%,253
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Albany,5214534,18.07,13355,-892,4.01268824934959%,253
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Schenectady (Cluster),2464082,17.19,-8220,-406,2.35162619501352%,201
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Schenectady,2464082,17.19,-8220,-406,2.35162619501352%,201
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Troy (Cluster),1030638,17.44,31822,-168,4.14985679090023%,92
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Troy,1030638,17.44,31822,-168,4.14985679090023%,92
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Outer Rensselaer County (Cluster),3065784,18.66,-88720,-30700,4.66937646269798%,236
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Outer Rensselaer County,3065784,18.66,-88720,-30700,4.66937646269798%,236
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Outer Schenectady County (Cluster),1512341,17.48,-4434,-237,1.77175644785166%,161
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Outer Schenectady County,1512341,17.48,-4434,-237,1.77175644785166%,161
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Saratoga County (Cluster),8513978,20.12,-22180,-1492,1.83596909046173%,699
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Saratoga County,8513978,20.12,-22180,-1492,1.83596909046173%,699
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Schoharie County (Cluster),409475,17.42,-2425,-54,0.579034117981791%,64
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Schoharie County,409475,17.42,-2425,-54,0.579034117981791%,64
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Suburban (Location Type),35934599,18.38,98300,-61331,4.62078638374805%,2339
Office,2025 Q3,All,2025 Q2,Albany - NY USA - Urban (Location Type),5214534,18.07,13355,-892,4.01268824934959%,253
Office,2025 Q3,All,2025 Q2,Albany - NY USA - W Outer Albany County (Cluster),4565213,18.08,13051,-759,7.73492902517319%,322
Office,2025 Q3,All,2025 Q2,Albany - NY USA - W Outer Albany County,4565213,18.08,13051,-759,7.73492902517319%,322
Office,2025 Q3,All,2025 Q2,Albany - OR USA - Linn County (Cluster),1981943,28.09,-7143,-96,3.30231487751007%,316
Office,2025 Q3,All,2025 Q2,Albany - OR USA - Linn County,1981943,28.09,-7143,-96,3.30231487751007%,316
Office,2025 Q3,All,2025 Q2,Albany - OR USA - Suburban (Location Type),1981943,28.09,-7143,-96,3.30231487751007%,316
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Airport (Cluster),2519726,16.83,25563,-416,4.09298464655876%,82
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Airport,2519726,16.83,25563,-416,4.09298464655876%,82
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Cottonwood (Cluster),357578,21.77,1586,-34,0.71620736271143%,39
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Cottonwood,357578,21.77,1586,-34,0.71620736271143%,39
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Downtown (Cluster),8045960,19.7,-18287,-770,4.05229441821575%,464
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Downtown,8045960,19.7,-18287,-770,4.05229441821575%,464
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - East Outlying (Cluster),265862,18.66,-456,-8,0.234708236530423%,55
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - East Outlying,265862,18.66,-456,-8,0.234708236530423%,55
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Far Northeast Heights (Cluster),2954906,20.27,103058,13060,5.01897521317005%,282
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Far Northeast Heights,2954906,20.27,103058,13060,5.01897521317005%,282
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Kirtland AF Base (Cluster),17985,21.48,-41,-2,0.216847378760576%,1
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Kirtland AF Base,17985,21.48,-41,-2,0.216847378760576%,1
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Los Lunas Corridor (Cluster),868463,18.17,-8093,-37,0.927615817636251%,183
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Los Lunas Corridor,868463,18.17,-8093,-37,0.927615817636251%,183
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Mesa Del Sol (Cluster),498606,23.87,-1148,-57,0.218810047954321%,6
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Mesa Del Sol,498606,23.87,-1148,-57,0.218810047954321%,6
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North I-25 (Cluster),7849568,22.31,4032,-767,6.63999617099762%,409
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North I-25,7849568,22.31,4032,-767,6.63999617099762%,409
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North Outlying (Cluster),165931,21.16,2770,-15,0.223586917854846%,14
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North Outlying,165931,21.16,2770,-15,0.223586917854846%,14
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North Valley (Cluster),948204,18.69,12656,-42,3.61219719052315%,190
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North Valley,948204,18.69,12656,-42,3.61219719052315%,190
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Northeast Heights (Cluster),1905325,18.14,-43073,-131,5.92114217579365%,240
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Northeast Heights,1905325,18.14,-43073,-131,5.92114217579365%,240
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Rio Rancho (Cluster),3425123,20.56,103956,-336,4.39373999834061%,191
