Property Class Name,Period,Slice,As Of,Geography Name,Inventory SF,Market Asking Rent/SF,Net Absorption SF 12 Mo,Net Delivered SF 12 Mo,Vacancy Rate,Existing Buildings
Retail,2025 Q3,All,2025 Q2,Akron - OH USA - Akron,32542060,12.5,57024,61545,3.2711636275053%,3461
Retail,2025 Q3,All,2025 Q2,Akron - OH USA - Fairlawn/Montrose,4247781,19.03,-5934,9124,6.19066767394543%,169
Retail,2025 Q3,All,2025 Q2,Akron - OH USA - Portage County (Cluster),9383506,13.6,160154,141588,2.83331200480461%,898
Retail,2025 Q3,All,2025 Q2,Akron - OH USA - Portage County,9383506,13.6,160154,141588,2.83331200480461%,898
Retail,2025 Q3,All,2025 Q2,Akron - OH USA - Summit County (Cluster),36789841,13.25,51090,70669,3.60825136303902%,3630
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Albany CBD (Cluster),1463249,20.78,7146,-181,0.729404203593731%,173
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Albany CBD,1463249,20.78,7146,-181,0.729404203593731%,173
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Central Avenue Corridor (Cluster),5414671,17.81,63052,-788,9.84028428792953%,350
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Central Avenue Corridor,5414671,17.81,63052,-788,9.84028428792953%,350
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Downtown Schenectady (Cluster),1142746,13.9,30074,-131,1.39444814994931%,163
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Downtown Schenectady,1142746,13.9,30074,-131,1.39444814994931%,163
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Downtown Troy (Cluster),1417798,15.41,-17467,-147,7.07597285509109%,224
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Downtown Troy,1417798,15.41,-17467,-147,7.07597285509109%,224
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - E Outer Albany County (Cluster),9033156,19.37,46264,14748,2.40457486361265%,799
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - E Outer Albany County,9033156,19.37,46264,14748,2.40457486361265%,799
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Albany (Cluster),4955221,15.21,13476,-488,1.93868242204189%,837
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Albany,4955221,15.21,13476,-488,1.93868242204189%,837
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Schenectady (Cluster),4721453,14.98,-43955,124532,4.15880456566811%,787
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Schenectady,4721453,14.98,-43955,124532,4.15880456566811%,787
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Troy (Cluster),2040857,15.93,-8938,-184,2.58621741086245%,386
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Greater Troy,2040857,15.93,-8938,-184,2.58621741086245%,386
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Outer Rensselaer County (Cluster),5287059,14.96,-7122,-603,2.1239785477519%,699
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Outer Rensselaer County,5287059,14.96,-7122,-603,2.1239785477519%,699
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Outer Schenectady County (Cluster),5159467,13.98,-19931,64748,2.06042602658272%,499
Retail,2025 Q3,All,2025 Q2,Albany - NY USA - Outer Schenectady County,5159467,13.98,-19931,64748,2.06042602658272%,499
